,,,,,,
"PERÍODO_LECTIVO TIPO_DE_PERÍODO_LECTIVO","ID","SIGLA","NOME","CURSO","REGENTE","RESPONSÁVEL"
"1º Sem",8674,"BE","Bioprocess Engineering","Estudos Avançados em Bioengenharia (MIT)","João Paulo Serejo Goulão Crespo","João Paulo Serejo Goulão Crespo"
"1º Sem",7300,"BA","Bioquímica Analítica","Licenciatura em Bioquímica","Isabel Maria Andrade Martins Galhardas de Moura","Isabel Maria Andrade Martins Galhardas de Moura"
"1º Sem",7300,"BA","Bioquímica Analítica","Licenciatura em Química Aplicada","Isabel Maria Andrade Martins Galhardas de Moura","Isabel Maria Andrade Martins Galhardas de Moura"
"1º Sem",7300,"BA","Bioquímica Analítica","Mestrado Integrado em Engenharia Biomédica","Isabel Maria Andrade Martins Galhardas de Moura","Isabel Maria Andrade Martins Galhardas de Moura"
"1º Sem",7300,"BA","Bioquímica Analítica","Programa Doutoral em Bioquímica","Isabel Maria Andrade Martins Galhardas de Moura","Isabel Maria Andrade Martins Galhardas de Moura"
"1º Sem",7300,"BA","Bioquímica Analítica","Programa Doutoral em Química","Isabel Maria Andrade Martins Galhardas de Moura","Isabel Maria Andrade Martins Galhardas de Moura"
"1º Sem",7137,"BioFis","Bioquímica Física","Mestrado em Bioquímica Estrutural e Funcional","Isabel Maria Andrade Martins Galhardas de Moura","Isabel Maria Andrade Martins Galhardas de Moura"
"1º Sem",7137,"BioFis","Bioquímica Física","Programa Doutoral em Bioquímica","Isabel Maria Andrade Martins Galhardas de Moura","Isabel Maria Andrade Martins Galhardas de Moura"
"1º Sem",7137,"BioFis","Bioquímica Física","Programa Doutoral em Química","Isabel Maria Andrade Martins Galhardas de Moura","Isabel Maria Andrade Martins Galhardas de Moura"
"1º Sem",3350,"BGA","Bioquímica Geral A","Mestrado Integrado em Engenharia do Ambiente","Maria Alice Santos Pereira","Isabel Maria Andrade Martins Galhardas de Moura"
"1º Sem",7321,"BG.b","Bioquímica Geral B","Mestrado Integrado em Engenharia Química e Bioquímica","Maria Teresa Nunes Mangas Catarino","Isabel Maria Andrade Martins Galhardas de Moura"
"1º Sem",5324,"Biosse","Biossensores","Mestrado em Biotecnologia","Hugo Manuel Brito Águas","Elvira Maria Correia Fortunato"
"1º Sem",5324,"Biosse","Biossensores","Mestrado em Engenharia de Materiais","Hugo Manuel Brito Águas","Elvira Maria Correia Fortunato"
"1º Sem",5324,"Biosse","Biossensores","Programa Doutoral em Ciência e Engenharia de Materiais","Hugo Manuel Brito Águas","Elvira Maria Correia Fortunato"
"1º Sem",5324,"Biosse","Biossensores","Programa Doutoral em Nanotecnologias e Nanociências","Hugo Manuel Brito Águas","Elvira Maria Correia Fortunato"
"1º Sem",7106,"BPN","Biossíntese de Produtos Naturais","Licenciatura em Química Aplicada","Ana Maria Félix Trindade Lobo","Ana Maria Félix Trindade Lobo"
"1º Sem",7106,"BPN","Biossíntese de Produtos Naturais","Programa Doutoral em Química","Ana Maria Félix Trindade Lobo","Ana Maria Félix Trindade Lobo"
"1º Sem",7753,"CZGT","Caracterização e Zonamento Geotécnico de Terrenos","Mestrado em Engenharia Geológica (Geotecnia)","Ana Paula Fernandes da Silva","José Alcino Rodrigues de Carvalho"
"1º Sem",7212,"Cat","Catálise","Mestrado em Bioorgânica","Ana Maria Félix Trindade Lobo","Ana Maria Félix Trindade Lobo"
"1º Sem",7212,"Cat","Catálise","Programa Doutoral em Química","Ana Maria Félix Trindade Lobo","Ana Maria Félix Trindade Lobo"
"1º Sem",1141,"CN","Cálculo Numérico","Licenciatura em Engenharia de Telecomunicações e Computadores","Susana Maria Marques Henriques Botelho Baptista","Luís Manuel Trabucho de Campos"
"1º Sem",1141,"CN","Cálculo Numérico","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","Susana Maria Marques Henriques Botelho Baptista","Luís Manuel Trabucho de Campos"
"1º Sem",8282,"CLC","Ciência da Lógica Computacional","Mestrado em Engenharia Informática","Alfredo Gabaldon","José Júlio Alves Alferes"
"1º Sem",8282,"CLC","Ciência da Lógica Computacional","Mestrado em Lógica Computacional","Alfredo Gabaldon","José Júlio Alves Alferes"
"1º Sem",3647,"CM","Ciência dos Materiais","Mestrado Integrado em Engenharia e Gestão Industrial","Francisco Manuel Braz Fernandes","Francisco Manuel Braz Fernandes"
"1º Sem",3647,"CM","Ciência dos Materiais","Mestrado Integrado em Engenharia Mecânica","Francisco Manuel Braz Fernandes","Francisco Manuel Braz Fernandes"
"1º Sem",3647,"CM","Ciência dos Materiais","Mestrado Integrado em Engenharia Química e Bioquímica","Francisco Manuel Braz Fernandes","Francisco Manuel Braz Fernandes"
"1º Sem",8836,"CTV 1","Ciência e Tecnologia do Vidro I","Mestrado em Arte e Ciência do Vidro","Márcia Gomes Vilarigues","Márcia Gomes Vilarigues"
"1º Sem",8794,"CE","Cinética Enzimática","Licenciatura em Bioquímica","Teresa Maria Fonseca de Moura","Teresa Maria Fonseca de Moura"
"1º Sem",3630,"CEE","Circuitos Eléctricos e Electrónicos","Licenciatura em Engenharia Informática","Maria Helena Silva Fino","Adolfo Sanchez Steiger Garção"
"1º Sem",7156,"Clm","Climatologia","Licenciatura em Ciências da Natureza","Alexandra de Jesus Branco Ribeiro","Isabel Maria Gonçalves Correia Sepúlveda"
"1º Sem",7156,"Clm","Climatologia","Mestrado Integrado em Engenharia do Ambiente","Alexandra de Jesus Branco Ribeiro","Isabel Maria Gonçalves Correia Sepúlveda"
"1º Sem",8157,"CI","Codificação da Informação","Licenciatura em Engenharia Informática","Carmen Pires Morgado","Pedro Abílio Duarte de Medeiros"
"1º Sem",8520,"CAV","Complementos de Actuariado Vida","Mestrado em Matemática e Aplicações","Rui Manuel Rodrigues Cardoso","Manuel Leote Tavares Inglês Esquível"
"1º Sem",5360,"CF.b","Complementos de Física B","Mestrado Integrado em Engenharia Física","Ana Cristina Gomes da Silva","Maria Adelaide de Almeida Pedro de Jesus"
"1º Sem",9494,"CFN","Complementos de Física Nuclear","Programa Doutoral em Física","Maria Adelaide de Almeida Pedro de Jesus","Maria Adelaide de Almeida Pedro de Jesus"
"1º Sem",9645,"CL","Complementos de Lógica","Programa Doutoral em Matemática","Isabel Maria Oitavem Fonseca da Rocha","Maria Helena Coutinho Gomes Almeida Santos"
"1º Sem",9503,"Fis","Complementos de Mecânica Quântica","Programa Doutoral em Física","Fernando António de Freitas Costa Parente","Fernando António de Freitas Costa Parente"
"1º Sem",9629,"CTS","Complementos de Teoria de Semigrupos","Programa Doutoral em Matemática","Vitor Hugo Bento Dias Fernandes","Maria Helena Coutinho Gomes Almeida Santos"
"1º Sem",7514,"CMA","Compósitos - Materiais e Aplicações","Mestrado em Engenharia de Materiais","Alexandre José da Costa Velhinho","Francisco Manuel Braz Fernandes"
"1º Sem",8415,"CC","Computabilidade e Complexidade","Mestrado em Engenharia Informática","Isabel Maria Oitavem Fonseca da Rocha","Maria Helena Coutinho Gomes Almeida Santos"
"1º Sem",8415,"CC","Computabilidade e Complexidade","Mestrado em Lógica Computacional","Isabel Maria Oitavem Fonseca da Rocha","Maria Helena Coutinho Gomes Almeida Santos"
"1º Sem",8415,"CC","Computabilidade e Complexidade","Mestrado em Matemática e Aplicações","Isabel Maria Oitavem Fonseca da Rocha","Maria Helena Coutinho Gomes Almeida Santos"
"1º Sem",8150,"CGI","Computação Gráfica e Interfaces","Licenciatura em Engenharia Informática","Adriano Martins Lopes","Manuel João Toscano Próspero dos Santos"
"1º Sem",8150,"CGI","Computação Gráfica e Interfaces","Mestrado em Matemática e Aplicações","Adriano Martins Lopes","Manuel João Toscano Próspero dos Santos"
"1º Sem",8150,"CGI","Computação Gráfica e Interfaces","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","Adriano Martins Lopes","Manuel João Toscano Próspero dos Santos"
"1º Sem",9232,"CSCS","Computer Systems and Communications Security","Programa Doutoral em Informática","Henrique João Lopes Domingos","José Alberto Cardoso e Cunha"
"1º Sem",7333,"CD","Comunicação Digital","Licenciatura em Engenharia de Telecomunicações e Computadores","Paulo Miguel de Araújo Borges Montezuma de Carvalho","Paulo da Costa Luís da Fonseca Pinto"
"1º Sem",7333,"CD","Comunicação Digital","Mestrado em Engenharia Electrotécnica, Sistemas e Computadores","Paulo Miguel de Araújo Borges Montezuma de Carvalho","Paulo da Costa Luís da Fonseca Pinto"
"1º Sem",7333,"CD","Comunicação Digital","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","Paulo Miguel de Araújo Borges Montezuma de Carvalho","Paulo da Costa Luís da Fonseca Pinto"
"1º Sem",8917,"CSCT","Comunicação Social, Científica e Técnica","Programa Doutoral em Ciência e Engenharia de Materiais","Vítor Manuel Neves Duarte Teodoro","Maria Paula Pires dos Santos Diogo"
"1º Sem",8917,"CSCT","Comunicação Social, Científica e Técnica","Programa Doutoral em Nanotecnologias e Nanociências","Vítor Manuel Neves Duarte Teodoro","Maria Paula Pires dos Santos Diogo"
"1º Sem",8278,"CTC","Comunicação Técnica e Científica","Mestrado em Engenharia Informática","Helena Maria Duarte Freitas Mesquita Barbas","Pedro Manuel Corrêa Calvente Barahona"
"1º Sem",9073,"CGP","Conceitos de Gestão de Projectos","Estudos Pós-Graduados em Gestão de Projectos","Virgílio António da Cruz Machado","Virgílio António da Cruz Machado"
"1º Sem",9286,"CES","Concepção Ergonómica de Sistemas A","Mestrado Integrado em Engenharia e Gestão Industrial","Maria Celeste Rodrigues Jacinto","José Martin Miquel Cabeças"
"1º Sem",9721,"CES d","Concepção Ergonómica de Sistemas D","Programa Doutoral em Engenharia Industrial","Isabel Maria Nascimento Lopes Nunes","José Martin Miquel Cabeças"
"1º Sem",3883,"CRBCI","Conservação e Restauro de Bens Culturais I","Mestrado em Conservação e Restauro","Micaela Margarida Ferreira de Sousa","Maria João Seixas de Melo"
"1º Sem",8279,"CASS","Construção e Análise de Sistemas de Software","Mestrado em Engenharia Informática","Luís Manuel Marques da Costa Caires","Luís Manuel Marques da Costa Caires"
"1º Sem",3708,"CAC","Contabilidade e Análise de Custos","Mestrado em Engenharia Microelectrónica e Nanotecnologias","Rui Fernando Miranda Vieira","Virgílio António da Cruz Machado"
"1º Sem",3708,"CAC","Contabilidade e Análise de Custos","Mestrado Integrado em Engenharia e Gestão Industrial","Rui Fernando Miranda Vieira","Virgílio António da Cruz Machado"
"1º Sem",6945,"CDE","Controlo e Decisão na Energia","Mestrado em Engenharia Electrotécnica, Sistemas e Computadores","Rui Alexandre Nunes Neves da Silva","Fernando José Almeida Vieira do Coito"
"1º Sem",6945,"CDE","Controlo e Decisão na Energia","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","Rui Alexandre Nunes Neves da Silva","Fernando José Almeida Vieira do Coito"
"1º Sem",7306,"CI","Controlo Inteligente A","Mestrado em Engenharia Electrotécnica, Sistemas e Computadores","Paulo José Carrilho de Sousa Gil","Fernando José Almeida Vieira do Coito"
"1º Sem",7306,"CI","Controlo Inteligente A","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","Paulo José Carrilho de Sousa Gil","Fernando José Almeida Vieira do Coito"
"1º Sem",9552,"EFis","Criogenia I","Programa Doutoral em Engenharia Física","Gregoire Marie Jean Bonfait","Gregoire Marie Jean Bonfait"
"1º Sem",7440,"CLO","Cristais Líquidos e Optoelectrónica","Mestrado em Engenharia de Materiais","Assis Farinha Martins","Assis Farinha Martins"
"1º Sem",7440,"CLO","Cristais Líquidos e Optoelectrónica","Mestrado em Engenharia Microelectrónica e Nanotecnologias","Assis Farinha Martins","Assis Farinha Martins"
"1º Sem",7440,"CLO","Cristais Líquidos e Optoelectrónica","Programa Doutoral em Bioquímica","Assis Farinha Martins","Assis Farinha Martins"
"1º Sem",7440,"CLO","Cristais Líquidos e Optoelectrónica","Programa Doutoral em Química","Assis Farinha Martins","Assis Farinha Martins"
"1º Sem",7127,"XTALbio","Cristalografia de Proteínas","Mestrado em Bioquímica Estrutural e Funcional","Maria João Lobo de Reis Madeira Crispim Romão","Maria João Lobo de Reis Madeira Crispim Romão"
"1º Sem",7127,"XTALbio","Cristalografia de Proteínas","Programa Doutoral em Bioquímica","Maria João Lobo de Reis Madeira Crispim Romão","Maria João Lobo de Reis Madeira Crispim Romão"
"1º Sem",7127,"XTALbio","Cristalografia de Proteínas","Programa Doutoral em Química","Maria João Lobo de Reis Madeira Crispim Romão","Maria João Lobo de Reis Madeira Crispim Romão"
"1º Sem",7380,"DSn","Desenho","Licenciatura em Conservação - Restauro","Agnés Le Gac Arinto","Agnés Le Gac Arinto"
"1º Sem",7200,"DAC","Desenho Assistido por Computador","Mestrado em Engenharia e Gestão Industrial","Rui Fernando dos Santos Pereira Martins","António Manuel Flores Romão de Azevedo Gonçalves Coelho"
"1º Sem",7200,"DAC","Desenho Assistido por Computador","Mestrado Integrado em Engenharia e Gestão Industrial","Rui Fernando dos Santos Pereira Martins","António Manuel Flores Romão de Azevedo Gonçalves Coelho"
"1º Sem",7224,"DAC","Desenho Assistido por Computador","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","João Francisco Alves Martins","João Francisco Alves Martins"
"1º Sem",3663,"DT","Desenho Técnico","Mestrado Integrado em Engenharia Biomédica","António José Freire Mourão","António José Freire Mourão"
"1º Sem",9366,"DsnTcn","Desenho Técnico","Mestrado Integrado em Engenharia Civil","Miguel José das Neves Pires Amado","Miguel José das Neves Pires Amado"
"1º Sem",3663,"DT","Desenho Técnico","Mestrado Integrado em Engenharia e Gestão Industrial","António José Freire Mourão","António José Freire Mourão"
"1º Sem",3663,"DT","Desenho Técnico","Mestrado Integrado em Engenharia Física","António José Freire Mourão","António José Freire Mourão"
"1º Sem",3663,"DT","Desenho Técnico","Mestrado Integrado em Engenharia Mecânica","António José Freire Mourão","António José Freire Mourão"
"1º Sem",7894,"DNP","Desenvolvimento de Novos Produtos","Mestrado em Tecnologia e Segurança Alimentar","Maria Paulina Estorninho Neves da Mata Pereira","Ana Maria Félix Trindade Lobo"
"1º Sem",2877,"DSOO","Desenvolvimento de Software Orientado pelos Objectos","Mestrado em Engenharia Informática","Fernando Manuel Pereira da Costa Brito e Abreu","Luís Fernando Lopes Monteiro"
"1º Sem",7718,"DRem","Detecção Remota","Licenciatura em Engenharia Geológica","José Carlos Ribeiro Kullberg","Rogério Eduardo Bordalo da Rocha"
"1º Sem",2698,"DCEP","Diagnóstico e Conservação de Estratos Pictóricos","Licenciatura em Conservação - Restauro","Leslie Carlyle","Leslie Carlyle"
"1º Sem",7417,"DCP","Diagnóstico e Conservação de Pedra","Licenciatura em Conservação - Restauro","Maria Amélia Alves Rangel Dionísio","Maria Amélia Alves Rangel Dionísio"
"1º Sem",2681,"DCT","Diagnóstico e Conservação de Têxteis","Licenciatura em Conservação - Restauro","Micaela Margarida Ferreira de Sousa","Micaela Margarida Ferreira de Sousa"
"1º Sem",7580,"DE","Dinâmica de Estruturas","Mestrado em Engenharia Civil (Estruturas e Geotecnia)","Manuel Américo de Jesus Gonçalves da Silva","Manuel Américo de Jesus Gonçalves da Silva"
"1º Sem",7580,"DE","Dinâmica de Estruturas","Mestrado Integrado em Engenharia Civil","Manuel Américo de Jesus Gonçalves da Silva","Manuel Américo de Jesus Gonçalves da Silva"
"1º Sem",9391,"DinEstr","Dinâmica de Estruturas C","Mestrado Integrado em Engenharia Civil","Manuel Américo de Jesus Gonçalves da Silva","Manuel Américo de Jesus Gonçalves da Silva"
"1º Sem",7169,"DPA","Dinâmica de Processos Ambientais","Mestrado Integrado em Engenharia do Ambiente","Leonor Miranda Monteiro do Amaral","Fernando José Pires Santana"
"1º Sem",9370,"DCR","Dinâmica dos Corpos Rígidos","Mestrado Integrado em Engenharia Civil","Zuzana Dimitrovova","Manuel Américo de Jesus Gonçalves da Silva"
"1º Sem",3658,"DF1","Dinâmica dos Fluidos I","Mestrado Integrado em Engenharia Mecânica","José Manuel Paixão Conde","António Rafael Janeiro Borges"
"1º Sem",7197,"DGSE","Dinâmica e Gestão Sustentável de Ecossistemas","Mestrado Integrado em Engenharia do Ambiente","José Carlos Ribeiro Ferreira","Maria Rosa Santos de Paiva"
"1º Sem",8476,"DPA","Direito e Política da Água","Mestrado em Engenharia e Gestão da Água","António Pedro de Nobre Carmona Rodrigues","António Pedro de Nobre Carmona Rodrigues"
"1º Sem",8853,"DPAE","Direito e Políticas em Ambiente e Energia","Mestrado em Energias Renováveis - Conversão Eléctrica e Utilização Sustentáveis","Maria Júlia Fonseca de Seixas","João Miguel Dias Joanaz de Melo"
"1º Sem",8890,"DissBio","Dissertação em Bioorgânica","Mestrado em Bioorgânica","Pedro Jorge Macedo de Abreu","Pedro Jorge Macedo de Abreu"
"1º Sem",9275,"DEGI","Dissertação em Eng. e Gestão Industrial","Mestrado Integrado em Engenharia e Gestão Industrial","Virgílio António da Cruz Machado","Virgílio António da Cruz Machado"
"1º Sem",9276,"DEM","Dissertação em Eng. Mecânica","Mestrado Integrado em Engenharia Mecânica","José Fernando de Almeida Dias","José Fernando de Almeida Dias"
"1º Sem",8911,"DissEBio","Dissertação em Engenharia Biomédica","Mestrado Integrado em Engenharia Biomédica","Maria Adelaide de Almeida Pedro de Jesus","Maria Adelaide de Almeida Pedro de Jesus"
"1º Sem",8897,"DissEG","Dissertação em Engenharia Civil (Estruturas e Geotecnia)","Mestrado em Engenharia Civil (Estruturas e Geotecnia)","Corneliu Cismasiu","Corneliu Cismasiu"
"1º Sem",8899,"DissEMt","Dissertação em Engenharia de Materiais","Mestrado em Engenharia de Materiais","Alexandre José da Costa Velhinho","Francisco Manuel Braz Fernandes"
"1º Sem",9039,"DissEA","Dissertação em Engenharia do Ambiente","Mestrado Integrado em Engenharia do Ambiente","Maria da Graça Madeira Martinho","Maria da Graça Madeira Martinho"
"1º Sem",8901,"DissEGI","Dissertação em Engenharia e Gestão Industrial","Mestrado em Engenharia e Gestão Industrial","Virgílio António da Cruz Machado","Virgílio António da Cruz Machado"
"1º Sem",9014,"DissEEC","Dissertação em Engenharia Electrotécnica e de Computadores","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","Paulo da Costa Luís da Fonseca Pinto","Paulo da Costa Luís da Fonseca Pinto"
"1º Sem",8912,"DissEF","Dissertação em Engenharia Física","Mestrado Integrado em Engenharia Física","Orlando Manuel Neves Duarte Teodoro","Orlando Manuel Neves Duarte Teodoro"
"1º Sem",8896,"DissMec","Dissertação em Engenharia Mecânica","Mestrado em Engenharia Mecânica","José Fernando de Almeida Dias","José Fernando de Almeida Dias"
"1º Sem",8914,"DissEQB","Dissertação em Engenharia Química e Bioquímica","Mestrado Integrado em Engenharia Química e Bioquímica","José Paulo Barbosa Mota","José Paulo Barbosa Mota"
"1º Sem",8909,"DissGMB","Dissertação em Genética Molecular e Biomedicina","Mestrado em Genética Molecular e Biomedicina","Ilda Maria Barros dos Santos Gomes Sanches","Ilda Maria Barros dos Santos Gomes Sanches"
"1º Sem",7927,"DAD","Do Analógico ao Digital: percursos da tecnologia moderna contemporânea","Licenciatura em Engenharia de Telecomunicações e Computadores","Maria Paula Pires dos Santos Diogo","Maria Paula Pires dos Santos Diogo"
